,HFUEL,HHFAMINC,HOMEOWN,HHSIZE,YOUNGCHILD,HHVEHCNT,URBRUR,HTPPOPDN,PRICE,PLACE,R_AGE_IMP,R_SEX_IMP,EDUC,R_RACE,GT1JBLWK,OCCAT,CARSHARE,TIMETOWK,YEARMILE,VEHAGE
114600,0,3,1.0,2.0,0.0,6.0,1,5,3.0,3.0,22,1,3.0,1.0,0,4.0,0,60.0,15000.0,3.0
114628,0,4,1.0,2.0,0.0,0.0,1,6,2.0,2.0,35,0,3.0,1.0,0,4.0,0,20.0,12000.0,1.0
114633,0,2,1.0,1.0,0.0,1.0,1,1,4.0,5.0,52,0,4.0,1.0,0,4.0,0,45.0,5000.0,2.0
114638,0,5,1.0,2.0,0.0,3.0,0,3,3.0,2.0,21,1,3.0,1.0,0,1.0,0,30.0,3000.0,3.0
114639,0,5,1.0,1.0,0.0,3.0,0,3,3.0,4.0,17,1,1.0,1.0,0,1.0,0,20.0,2000.0,1.0
114670,0,3,1.0,3.0,0.0,4.0,1,1,4.0,2.0,44,1,3.0,1.0,0,3.0,0,12.0,15000.0,3.0
114678,0,3,1.0,3.0,0.0,4.0,1,1,1.0,2.0,51,0,4.0,1.0,0,1.0,0,20.0,25000.0,3.0
114695,0,5,0.0,1.0,0.0,1.0,1,2,2.0,3.0,67,1,5.0,1.0,0,4.0,0,60.0,28000.0,2.0
114696,0,5,1.0,2.0,0.0,1.0,1,2,3.0,3.0,60,0,5.0,1.0,0,4.0,0,20.0,8700.0,2.0
114698,0,4,0.0,1.0,0.0,0.0,0,6,4.0,2.0,31,0,5.0,1.0,0,4.0,0,25.0,19000.0,1.0
114699,0,2,1.0,3.0,0.0,3.0,1,6,5.0,3.0,62,0,3.0,1.0,0,2.0,0,15.0,5000.0,1.0
114705,0,4,1.0,1.0,0.0,1.0,1,4,2.0,2.0,46,0,5.0,1.0,0,4.0,0,2.0,30000.0,1.0
114706,0,4,1.0,1.0,0.0,1.0,1,2,1.0,3.0,57,0,5.0,1.0,0,4.0,0,30.0,25000.0,3.0
114751,0,4,1.0,3.0,0.0,2.0,0,1,2.0,3.0,45,0,3.0,2.0,0,4.0,0,20.0,20000.0,3.0
114756,0,3,1.0,1.0,0.0,1.0,1,5,3.0,4.0,50,0,3.0,7.0,0,1.0,0,10.0,8000.0,3.0
114758,0,5,1.0,3.0,0.0,4.0,1,2,2.0,3.0,44,1,5.0,1.0,0,4.0,0,8.0,10000.0,1.0
114762,0,4,1.0,2.0,0.0,2.0,0,2,3.0,2.0,66,1,2.0,1.0,0,1.0,0,50.0,30000.0,1.0
114766,0,5,1.0,3.0,1.0,3.0,1,5,2.0,3.0,38,1,2.0,1.0,0,4.0,0,20.0,12000.0,2.0
114770,0,1,0.0,2.0,0.0,1.0,0,1,4.0,4.0,56,0,2.0,1.0,0,2.0,0,5.0,15000.0,1.0
114777,0,4,0.0,1.0,0.0,1.0,1,6,3.0,3.0,44,0,5.0,1.0,0,4.0,0,10.0,8000.0,1.0
114789,0,3,1.0,1.0,0.0,1.0,1,6,2.0,2.0,35,0,3.0,6.0,0,1.0,0,10.0,1500.0,1.0
114806,0,5,1.0,1.0,0.0,2.0,0,3,2.0,3.0,48,1,3.0,3.0,0,1.0,0,10.0,20000.0,2.0
114807,0,5,0.0,3.0,0.0,3.0,1,3,2.0,2.0,48,0,4.0,3.0,0,4.0,0,10.0,13000.0,2.0
114837,0,4,0.0,2.0,0.0,2.0,1,5,4.0,4.0,30,1,5.0,3.0,0,4.0,0,40.0,10000.0,3.0
114852,0,5,1.0,2.0,0.0,2.0,1,3,4.0,2.0,81,1,5.0,1.0,0,4.0,0,17.0,5000.0,3.0
114855,0,5,1.0,1.0,0.0,2.0,0,5,2.0,3.0,51,1,5.0,1.0,0,4.0,0,15.0,3000.0,3.0
114874,0,4,1.0,1.0,0.0,1.0,1,6,5.0,5.0,33,1,3.0,1.0,0,1.0,0,7.0,10000.0,1.0
114882,0,5,1.0,2.0,0.0,3.0,0,6,2.0,2.0,55,0,5.0,3.0,0,4.0,0,40.0,8000.0,3.0
114887,0,4,1.0,1.0,0.0,1.0,1,4,4.0,4.0,53,1,2.0,1.0,1,3.0,0,10.0,12000.0,1.0
114894,0,4,0.0,1.0,0.0,0.0,1,1,3.0,1.0,31,1,4.0,1.0,1,4.0,0,45.0,50000.0,2.0
114920,0,5,0.0,5.0,1.0,3.0,1,5,1.0,1.0,52,0,5.0,1.0,0,4.0,0,5.0,10000.0,2.0
114932,0,1,0.0,1.0,0.0,1.0,0,5,1.0,3.0,17,1,3.0,1.0,0,1.0,0,10.0,12000.0,2.0
114934,0,3,1.0,5.0,0.0,4.0,1,2,2.0,2.0,52,1,3.0,1.0,1,3.0,0,30.0,30000.0,2.0
114936,0,3,1.0,1.0,0.0,1.0,0,2,4.0,3.0,30,1,2.0,1.0,0,3.0,0,30.0,20000.0,1.0
114967,0,2,0.0,1.0,0.0,1.0,1,4,5.0,4.0,34,1,1.0,1.0,0,3.0,0,15.0,5000.0,2.0
114983,0,5,0.0,4.0,0.0,3.0,1,5,2.0,1.0,82,0,4.0,1.0,0,2.0,0,11.0,5500.0,3.0
114994,0,5,0.0,1.0,0.0,1.0,1,7,3.0,3.0,37,0,5.0,1.0,0,4.0,0,25.0,10000.0,2.0
115040,0,5,1.0,1.0,0.0,3.0,1,4,1.0,2.0,75,1,5.0,1.0,0,4.0,0,2.0,15000.0,2.0
115044,0,4,1.0,1.0,0.0,1.0,1,5,3.0,2.0,35,0,4.0,1.0,0,1.0,0,20.0,10000.0,1.0
115061,0,4,1.0,1.0,0.0,1.0,1,5,3.0,3.0,53,1,2.0,1.0,0,3.0,0,20.0,20000.0,1.0
115064,0,5,1.0,2.0,0.0,2.0,1,2,4.0,4.0,35,1,5.0,1.0,0,4.0,0,25.0,8000.0,2.0
115103,0,3,1.0,3.0,0.0,2.0,1,3,5.0,5.0,38,0,2.0,1.0,0,1.0,0,20.0,12000.0,2.0
